state,Auto Debt,Credit Card Debt,Mortgage Debt,Student Loan Debt,Total Debt
AK,5010.0,4270.0,41580.0,3740.0,57850.0
AL,4780.0,2370.0,21000.0,4610.0,36060.0
AR,5240.0,2300.0,18200.0,4170.0,32220.0
AZ,4890.0,3140.0,35680.0,4890.0,51300.0
CA,4380.0,3420.0,54640.0,4330.0,70100.0
CO,4630.0,3530.0,50900.0,5840.0,68450.0
CT,3600.0,3730.0,41790.0,5660.0,58860.0
DC,3010.0,3920.0,62080.0,12380.0,84380.0
DE,4750.0,3260.0,36840.0,5590.0,53390.0
FL,4960.0,3290.0,27120.0,4690.0,43400.0
GA,5260.0,3130.0,28620.0,6750.0,46730.0
HI,3650.0,3860.0,54680.0,3530.0,71170.0
IA,4370.0,2450.0,24580.0,5150.0,38920.0
ID,4450.0,2740.0,31070.0,4720.0,46270.0
IL,4090.0,3130.0,30260.0,5590.0,45670.0
IN,4110.0,2500.0,22810.0,5060.0,37210.0
KS,4000.0,2780.0,23330.0,5300.0,37320.0
KY,3780.0,2280.0,20010.0,4640.0,33660.0
LA,5550.0,2440.0,20820.0,5020.0,36720.0
MA,3810.0,3490.0,45760.0,5980.0,63070.0
MD,5110.0,3780.0,50900.0,6260.0,70010.0
ME,4330.0,2750.0,26230.0,5270.0,42080.0
MI,3690.0,2610.0,23130.0,5490.0,37640.0
MN,3950.0,3200.0,36950.0,6100.0,53260.0
MO,4180.0,2620.0,23940.0,5140.0,38420.0
MS,4840.0,2020.0,15230.0,5510.0,30920.0
MT,4080.0,2840.0,29880.0,4360.0,44200.0
NC,4910.0,2880.0,28590.0,4950.0,44780.0
ND,5020.0,2970.0,26100.0,5240.0,42230.0
NE,4030.0,2790.0,25250.0,5000.0,39400.0
NH,5220.0,3420.0,35930.0,5900.0,54570.0
NJ,3910.0,3910.0,40320.0,5720.0,57830.0
NM,5190.0,2650.0,24580.0,3810.0,38680.0
NV,5020.0,3210.0,35730.0,3790.0,50320.0
NY,3560.0,3710.0,32380.0,5810.0,49030.0
OH,4190.0,2680.0,21500.0,5980.0,37160.0
OK,5050.0,2550.0,19830.0,4300.0,33890.0
OR,3770.0,2940.0,37930.0,5430.0,53020.0
PA,4000.0,3030.0,24980.0,5910.0,41450.0
RI,3610.0,3240.0,33080.0,4910.0,48850.0
SC,4630.0,2680.0,26000.0,5500.0,42220.0
SD,4350.0,2780.0,25500.0,5020.0,41130.0
TN,4440.0,2480.0,24910.0,4760.0,39880.0
TX,6520.0,3140.0,25030.0,4700.0,41650.0
UT,5020.0,2930.0,41830.0,4230.0,56920.0
VA,4650.0,3760.0,47370.0,5550.0,65050.0
VT,4860.0,2970.0,28440.0,5620.0,45120.0
WA,4200.0,3380.0,47110.0,4110.0,62560.0
WI,3580.0,2630.0,25730.0,4750.0,39120.0
WV,4500.0,2240.0,15240.0,4070.0,28790.0
WY,5240.0,2960.0,31910.0,3270.0,46180.0
