state,Auto Delinquency,Credit Card Delinquency,Mortgage Delinquency,Student Loan Delinquency
AK,2.413887095913832,5.825561407474603,0.7563920673138211,10.326393251530188
AL,5.7500035326673515,7.681148326332476,1.1435248340265656,13.389523581290137
AR,4.392309689305591,8.656924537186018,1.199304090923777,14.23681318910684
AZ,4.570179554599909,9.538307772615992,0.8815657272968602,12.509340584501993
CA,3.6255204314944787,8.370357261165507,0.7222593625791678,10.046431374478736
CO,2.980390178030485,6.303954407186269,0.46189003492922404,11.098176335934552
CT,2.615434927522549,6.836475688578222,1.996090665568639,9.45915238286459
DC,7.231420380604805,5.859419569236586,1.1746573195258854,8.795769018447059
DE,4.347913199757248,8.307475491161442,2.207929147884303,9.626780222773155
FL,4.423929157895875,9.406606412191335,1.3246970214622087,9.047839561447672
GA,5.517685512376685,7.644629264300017,1.053208477952673,12.846772339817303
HI,3.342342379457227,6.199819673471936,1.3004833528652904,9.934655495403977
IA,2.3173515116269647,6.080551293251208,0.8450433770180286,11.38512975886223
ID,2.222350735661531,6.552846859522521,0.6578748726434626,11.983595307080908
IL,3.8203460117413552,6.297932320983238,1.6792748937308855,9.588176547637252
IN,4.480213430837037,6.463578308994497,1.2047495750628279,13.74727853779988
KS,3.0487185653661304,5.890689586378155,0.8719435426314174,13.08907677642146
KY,4.372982739828588,7.08927129818428,1.2763520326858,15.278985361117126
LA,5.857317733759453,7.7840950195995475,1.6391492377642405,13.128127132055292
MA,2.0574678168452953,6.638506058965142,1.3180261274530836,7.0393053339764755
MD,4.248058735299521,6.801319516912506,1.6338253257281758,10.465591968323459
ME,2.527302263243789,6.424903698265518,1.994814862911213,9.116274201521104
MI,4.687843092880483,6.360090034201687,0.8137603687698296,12.289801073836722
MN,1.766702144078455,5.571951199275631,0.6654807703699266,9.06725319764411
MO,4.048785565424504,7.295775903559676,0.9147379942360974,13.40190532177373
MS,6.427803550873741,7.358310003986247,1.6364060562629523,16.685120016047144
MT,3.089133875828158,5.981916891118613,0.7278632765563796,10.299547162972456
NC,5.1726055711542225,7.4281314288735505,1.2326873857556133,12.449666811328813
ND,2.143962079497728,5.101137746721275,0.6720824773533951,7.266809371030955
NE,2.481142714715221,5.065057641186382,0.5878466220743671,8.233814179742543
NH,2.332349174161078,6.072651270485785,1.08115685846314,8.790330057897435
NJ,3.086665758755868,7.3035042778245245,2.7151922283527847,8.963163342787297
NM,6.1484206344278185,9.024613933477177,1.7223304403842339,13.76691362010094
NV,4.837214482247963,10.759449005162258,1.6428909496274382,14.390539266078909
NY,3.3814636389149095,8.324861386374497,2.8013886602802662,8.75611726741968
OH,4.063770510385073,7.1603464190103185,1.2698645115610747,13.186037082393401
OK,4.889817367768093,7.861701990370721,1.4202934064052966,15.076090381373522
OR,2.2722695524243672,5.994533192337266,0.7572403412083811,11.450101980258111
PA,3.7322438184237563,7.220619061461267,1.6746833778300965,10.754009884896584
RI,2.510653438300492,7.591815345928945,1.6694315383107021,10.055592055597252
SC,5.621577130806096,7.799218458760329,1.3627165426413133,13.582919106364086
SD,2.7779301425952525,6.243837863963023,0.5793747430774436,10.926090155977922
TN,4.155775312712956,7.085598604585658,0.9103372739880502,13.57345747138989
TX,4.740187630509364,8.407987541443731,0.9551832130447883,11.10583425429737
UT,2.225277965206246,5.553891471907513,0.5656097635567716,9.046598801826073
VA,3.1912975935931343,6.096517872499358,0.85400415901248,10.128701750349451
VT,2.695952783834349,5.826447498845907,1.3055962347502859,8.088024064614595
WA,2.2584196276553747,5.425876450659562,0.7088197674437074,9.471053841448022
WI,2.4052466423450634,4.736604885489562,0.7900351921182979,9.362458185157832
WV,5.061223880886421,8.113768527854452,1.4291137784291086,16.145668133316686
WY,3.147990658230869,6.9787916807701755,0.8551551254091502,9.009007882703415
