,State,Average VantageScore
0,Alaska,668
1,Alabama,654
2,Arkansas,657
3,Arizona,669
4,California,680
5,Colorado,688
6,Connecticut,690
7,District of Columbia,670
8,Delaware,672
9,Florida,668
10,Georgia,654
11,Hawaii,693
12,Iowa,695
13,Idaho,681
14,Illinois,683
15,Indiana,667
16,Kansas,680
17,Kentucky,663
18,Louisiana,650
19,Massachusetts,699
20,Maryland,672
21,Maine,689
22,Michigan,677
23,Minnesota,709
24,Missouri,675
25,Mississippi,647
26,Montana,689
27,North Carolina,666
28,North Dakota,697
29,Nebraska,695
30,New Hampshire,701
31,New Jersey,686
32,New Mexico,659
33,Nevada,655
34,New York,688
35,Ohio,678
36,Oklahoma,656
37,Oregon,688
38,Pennsylvania,687
39,Rhode Island,687
40,South Carolina,657
41,South Dakota,700
42,Tennessee,662
43,Texas,656
44,Utah,683
45,Virginia,680
46,Vermont,702
47,Washington,693
48,Wisconsin,696
49,West Virginia,658
50,Wyoming,678
